filename,0,1,2,3,4
1380.png,10.0,10.0,5.0,0.0,0.0
1781.png,10.0,10.0,10.0,5.0,3.0
1166.png,10.0,10.0,4.0,9.0,0.0
506.png,10.0,10.0,10.0,7.0,5.0
564.png,10.0,10.0,10.0,2.0,2.0
1340.png,10.0,10.0,2.0,1.0,4.0
280.png,10.0,10.0,4.0,6.0,1.0
213.png,10.0,10.0,1.0,1.0,3.0
607.png,10.0,10.0,10.0,4.0,1.0
1320.png,10.0,10.0,6.0,1.0,4.0
793.png,10.0,10.0,7.0,1.0,7.0
742.png,10.0,10.0,10.0,10.0,9.0
187.png,10.0,10.0,10.0,8.0,9.0
1437.png,10.0,2.0,1.0,8.0,3.0
190.png,10.0,10.0,10.0,7.0,4.0
859.png,10.0,10.0,2.0,2.0,7.0
1674.png,10.0,10.0,2.0,6.0,0.0
583.png,10.0,10.0,2.0,7.0,3.0
753.png,10.0,10.0,1.0,3.0,0.0
708.png,10.0,10.0,3.0,1.0,3.0
1356.png,10.0,10.0,2.0,8.0,7.0
476.png,10.0,10.0,1.0,2.0,1.0
98.png,10.0,10.0,4.0,2.0,0.0
519.png,10.0,10.0,1.0,1.0,4.0
963.png,10.0,10.0,7.0,3.0,0.0
553.png,10.0,10.0,5.0,9.0,0.0
857.png,10.0,10.0,1.0,4.0,2.0
200.png,10.0,10.0,10.0,7.0,7.0
270.png,10.0,10.0,1.0,9.0,2.0
1264.png,10.0,1.0,0.0,5.0,0.0
317.png,10.0,10.0,2.0,0.0,4.0
375.png,10.0,10.0,4.0,3.0,5.0
537.png,10.0,1.0,1.0,5.0,7.0
778.png,10.0,10.0,10.0,4.0,8.0
1309.png,10.0,10.0,10.0,7.0,5.0
696.png,10.0,10.0,10.0,10.0,7.0
935.png,10.0,10.0,10.0,1.0,2.0
1784.png,10.0,10.0,7.0,6.0,5.0
1870.png,10.0,10.0,10.0,7.0,3.0
514.png,10.0,10.0,10.0,6.0,9.0
974.png,10.0,10.0,10.0,10.0,3.0
1863.png,10.0,10.0,10.0,3.0,0.0
320.png,10.0,2.0,9.0,7.0,5.0
1538.png,10.0,10.0,10.0,3.0,7.0
645.png,10.0,10.0,5.0,9.0,9.0
962.png,10.0,10.0,1.0,5.0,6.0
952.png,10.0,10.0,10.0,2.0,6.0
718.png,10.0,10.0,1.0,4.0,2.0
690.png,10.0,10.0,2.0,0.0,8.0
739.png,10.0,10.0,10.0,7.0,2.0
141.png,10.0,10.0,10.0,2.0,8.0
906.png,10.0,10.0,10.0,3.0,4.0
957.png,10.0,10.0,10.0,3.0,6.0
1763.png,10.0,10.0,10.0,2.0,7.0
136.png,10.0,10.0,1.0,4.0,3.0
408.png,10.0,10.0,2.0,6.0,7.0
1728.png,10.0,10.0,1.0,5.0,1.0
1726.png,10.0,10.0,10.0,1.0,2.0
875.png,10.0,10.0,10.0,1.0,4.0
105.png,10.0,10.0,10.0,3.0,8.0
142.png,10.0,10.0,1.0,7.0,8.0
253.png,10.0,10.0,6.0,1.0,2.0
781.png,10.0,10.0,2.0,2.0,0.0
1700.png,10.0,10.0,10.0,4.0,0.0
1773.png,10.0,10.0,1.0,4.0,3.0
1314.png,10.0,10.0,10.0,9.0,3.0
326.png,10.0,10.0,10.0,1.0,0.0
236.png,10.0,2.0,5.0,6.0,1.0
126.png,10.0,10.0,2.0,8.0,0.0
1667.png,10.0,10.0,2.0,8.0,0.0
63.png,10.0,10.0,10.0,7.0,2.0
1856.png,10.0,10.0,9.0,2.0,1.0
1243.png,10.0,10.0,10.0,9.0,2.0
333.png,10.0,10.0,10.0,7.0,7.0
479.png,10.0,10.0,10.0,6.0,4.0
897.png,10.0,10.0,6.0,6.0,0.0
1474.png,10.0,10.0,6.0,5.0,0.0
1075.png,10.0,10.0,3.0,1.0,9.0
760.png,10.0,3.0,4.0,7.0,8.0
1302.png,10.0,10.0,10.0,6.0,2.0
1724.png,10.0,10.0,10.0,10.0,4.0
520.png,10.0,10.0,10.0,4.0,0.0
76.png,10.0,10.0,3.0,1.0,9.0
972.png,10.0,10.0,2.0,9.0,0.0
1161.png,10.0,10.0,4.0,6.0,7.0
1228.png,10.0,10.0,3.0,7.0,7.0
1554.png,10.0,10.0,10.0,2.0,8.0
327.png,10.0,10.0,10.0,10.0,2.0
1268.png,10.0,10.0,6.0,1.0,2.0
1227.png,10.0,10.0,10.0,5.0,8.0
121.png,10.0,10.0,10.0,4.0,4.0
37.png,10.0,10.0,10.0,10.0,1.0
995.png,10.0,10.0,10.0,7.0,2.0
655.png,10.0,10.0,6.0,6.0,3.0
1683.png,10.0,10.0,3.0,1.0,7.0
755.png,10.0,10.0,1.0,7.0,6.0
1456.png,10.0,10.0,2.0,4.0,4.0
604.png,10.0,10.0,3.0,3.0,4.0
931.png,10.0,1.0,4.0,3.0,3.0
1003.png,10.0,10.0,10.0,4.0,6.0
1216.png,10.0,10.0,1.0,3.0,5.0
508.png,10.0,10.0,10.0,9.0,9.0
1361.png,10.0,10.0,9.0,3.0,8.0
248.png,10.0,10.0,10.0,6.0,1.0
1475.png,10.0,10.0,10.0,10.0,5.0
1774.png,10.0,10.0,10.0,1.0,3.0
1234.png,10.0,10.0,10.0,5.0,1.0
1874.png,10.0,10.0,1.0,1.0,8.0
1453.png,10.0,10.0,7.0,0.0,1.0
1730.png,10.0,10.0,7.0,4.0,5.0
730.png,10.0,10.0,10.0,6.0,1.0
1392.png,10.0,10.0,10.0,5.0,1.0
384.png,10.0,10.0,1.0,6.0,7.0
764.png,10.0,10.0,10.0,1.0,5.0
1391.png,10.0,10.0,10.0,6.0,1.0
1597.png,10.0,10.0,10.0,9.0,5.0
1666.png,10.0,10.0,10.0,1.0,1.0
1186.png,10.0,10.0,3.0,7.0,0.0
703.png,10.0,10.0,2.0,7.0,7.0
1416.png,10.0,10.0,10.0,2.0,6.0
471.png,10.0,10.0,10.0,5.0,4.0
1410.png,10.0,10.0,2.0,3.0,5.0
598.png,10.0,3.0,0.0,0.0,0.0
1068.png,10.0,10.0,10.0,10.0,2.0
1194.png,10.0,10.0,2.0,8.0,7.0
768.png,10.0,10.0,10.0,1.0,6.0
1884.png,10.0,10.0,2.0,5.0,0.0
1293.png,10.0,10.0,3.0,1.0,3.0
1509.png,10.0,10.0,4.0,7.0,1.0
999.png,10.0,10.0,2.0,7.0,2.0
1066.png,10.0,10.0,3.0,1.0,3.0
649.png,10.0,10.0,10.0,2.0,5.0
397.png,10.0,10.0,10.0,2.0,7.0
846.png,10.0,10.0,3.0,0.0,7.0
1080.png,10.0,10.0,3.0,2.0,1.0
1529.png,10.0,10.0,10.0,3.0,9.0
1551.png,10.0,10.0,3.0,0.0,3.0
179.png,10.0,10.0,10.0,8.0,1.0
1414.png,10.0,10.0,1.0,5.0,9.0
1349.png,10.0,10.0,10.0,5.0,9.0
1853.png,10.0,10.0,10.0,2.0,3.0
149.png,10.0,10.0,10.0,3.0,3.0
706.png,10.0,10.0,2.0,8.0,8.0
1653.png,10.0,10.0,10.0,5.0,9.0
1074.png,10.0,10.0,10.0,1.0,6.0
1188.png,10.0,1.0,7.0,3.0,5.0
1680.png,10.0,10.0,3.0,4.0,3.0
735.png,10.0,10.0,7.0,4.0,9.0
296.png,10.0,10.0,2.0,5.0,0.0
1397.png,10.0,10.0,10.0,1.0,5.0
611.png,10.0,10.0,2.0,3.0,6.0
1150.png,10.0,1.0,1.0,7.0,7.0
425.png,10.0,10.0,3.0,2.0,2.0
1207.png,10.0,10.0,8.0,6.0,7.0
157.png,10.0,10.0,6.0,0.0,5.0
1449.png,10.0,10.0,10.0,3.0,8.0
