filename,0,1,2,3,4
12970.png,10.0,10.0,10.0,2.0,1.0
12792.png,10.0,10.0,10.0,4.0,4.0
12032.png,10.0,10.0,10.0,9.0,6.0
13083.png,10.0,10.0,5.0,1.0,5.0
12013.png,10.0,10.0,5.0,7.0,7.0
13035.png,10.0,10.0,5.0,0.0,8.0
12382.png,10.0,10.0,10.0,1.0,3.0
11935.png,10.0,10.0,3.0,4.0,5.0
12304.png,10.0,10.0,10.0,8.0,4.0
12681.png,10.0,10.0,6.0,9.0,7.0
11639.png,10.0,10.0,1.0,3.0,2.0
12775.png,10.0,10.0,10.0,5.0,8.0
11471.png,10.0,10.0,4.0,3.0,4.0
11833.png,10.0,1.0,7.0,4.0,1.0
12811.png,10.0,10.0,5.0,6.0,7.0
11627.png,10.0,10.0,10.0,3.0,4.0
12170.png,10.0,10.0,1.0,0.0,4.0
13048.png,10.0,10.0,10.0,7.0,7.0
12835.png,10.0,10.0,10.0,10.0,8.0
12002.png,10.0,10.0,10.0,2.0,3.0
13136.png,10.0,10.0,10.0,3.0,9.0
12265.png,10.0,10.0,10.0,10.0,7.0
13080.png,10.0,10.0,2.0,2.0,7.0
12496.png,10.0,10.0,2.0,9.0,9.0
12202.png,10.0,1.0,2.0,3.0,5.0
11515.png,10.0,1.0,1.0,0.0,8.0
11747.png,10.0,10.0,10.0,2.0,5.0
11903.png,10.0,10.0,10.0,6.0,9.0
13162.png,10.0,10.0,10.0,7.0,6.0
12908.png,10.0,10.0,1.0,8.0,4.0
12162.png,10.0,10.0,1.0,5.0,2.0
12038.png,10.0,10.0,10.0,4.0,7.0
12985.png,10.0,1.0,4.0,1.0,2.0
12881.png,10.0,10.0,2.0,5.0,0.0
13236.png,10.0,10.0,3.0,7.0,5.0
12296.png,10.0,10.0,10.0,5.0,1.0
11739.png,10.0,2.0,9.0,0.0,6.0
13146.png,10.0,10.0,10.0,3.0,3.0
12639.png,10.0,10.0,1.0,3.0,6.0
12929.png,10.0,10.0,2.0,3.0,5.0
12092.png,10.0,10.0,10.0,3.0,4.0
12150.png,10.0,10.0,10.0,9.0,6.0
12037.png,10.0,10.0,1.0,4.0,6.0
12578.png,10.0,10.0,10.0,2.0,9.0
13090.png,10.0,10.0,2.0,6.0,8.0
12187.png,10.0,10.0,4.0,3.0,3.0
12179.png,10.0,10.0,10.0,2.0,3.0
12141.png,10.0,10.0,7.0,4.0,1.0
12738.png,10.0,10.0,1.0,1.0,3.0
12563.png,10.0,10.0,10.0,3.0,0.0
11650.png,10.0,10.0,1.0,9.0,6.0
13137.png,10.0,10.0,10.0,1.0,5.0
12215.png,10.0,10.0,10.0,4.0,7.0
12772.png,10.0,10.0,10.0,5.0,6.0
13253.png,10.0,10.0,5.0,4.0,2.0
11561.png,10.0,10.0,10.0,10.0,7.0
11925.png,10.0,10.0,5.0,6.0,7.0
13235.png,10.0,10.0,10.0,3.0,5.0
12817.png,10.0,10.0,10.0,7.0,4.0
12598.png,10.0,10.0,10.0,4.0,1.0
12609.png,10.0,10.0,10.0,1.0,8.0
12949.png,10.0,10.0,10.0,9.0,8.0
11505.png,10.0,10.0,2.0,1.0,0.0
11419.png,10.0,10.0,10.0,10.0,0.0
11714.png,10.0,10.0,1.0,2.0,9.0
11716.png,10.0,1.0,8.0,1.0,4.0
11580.png,10.0,10.0,6.0,0.0,5.0
12658.png,10.0,10.0,1.0,1.0,5.0
12238.png,10.0,10.0,1.0,5.0,3.0
13264.png,10.0,2.0,1.0,9.0,7.0
11741.png,10.0,10.0,10.0,3.0,3.0
