filename,0,1,2,3,4
5502.png,10.0,10.0,10.0,3.0,5.0
6876.png,10.0,10.0,10.0,1.0,5.0
12741.png,10.0,10.0,10.0,2.0,9.0
32307.png,10.0,10.0,10.0,10.0,5.0
8723.png,10.0,10.0,10.0,3.0,6.0
14657.png,10.0,10.0,3.0,7.0,8.0
9317.png,10.0,10.0,10.0,10.0,2.0
6487.png,10.0,2.0,4.0,2.0,3.0
2749.png,10.0,10.0,10.0,3.0,6.0
13739.png,10.0,10.0,10.0,4.0,1.0
2618.png,10.0,10.0,10.0,2.0,9.0
8632.png,10.0,10.0,10.0,10.0,3.0
8629.png,10.0,10.0,5.0,0.0,7.0
28868.png,10.0,10.0,1.0,0.0,3.0
5311.png,10.0,10.0,10.0,9.0,0.0
14874.png,10.0,10.0,10.0,1.0,1.0
4354.png,10.0,10.0,10.0,7.0,4.0
33180.png,10.0,10.0,5.0,4.0,7.0
28117.png,10.0,10.0,10.0,10.0,5.0
753.png,10.0,10.0,10.0,1.0,6.0
19038.png,10.0,10.0,10.0,10.0,3.0
22716.png,10.0,10.0,10.0,6.0,6.0
27090.png,10.0,10.0,10.0,10.0,4.0
7491.png,10.0,10.0,2.0,8.0,4.0
19677.png,10.0,10.0,7.0,9.0,6.0
25966.png,10.0,10.0,10.0,6.0,2.0
857.png,10.0,10.0,10.0,8.0,3.0
13620.png,10.0,10.0,10.0,6.0,7.0
25319.png,10.0,10.0,10.0,1.0,0.0
8605.png,10.0,10.0,10.0,2.0,8.0
14736.png,10.0,10.0,1.0,6.0,6.0
13794.png,10.0,10.0,4.0,5.0,4.0
25917.png,10.0,10.0,10.0,5.0,1.0
27642.png,10.0,10.0,10.0,3.0,6.0
19801.png,10.0,10.0,10.0,1.0,7.0
18875.png,10.0,10.0,10.0,6.0,2.0
21454.png,10.0,10.0,4.0,2.0,3.0
14137.png,10.0,10.0,10.0,2.0,1.0
11634.png,10.0,10.0,10.0,2.0,6.0
7142.png,10.0,10.0,10.0,5.0,1.0
9465.png,10.0,10.0,10.0,3.0,8.0
31409.png,10.0,10.0,10.0,2.0,0.0
4574.png,10.0,10.0,10.0,5.0,0.0
27238.png,10.0,10.0,2.0,4.0,8.0
5525.png,10.0,10.0,3.0,4.0,2.0
16718.png,10.0,10.0,10.0,1.0,5.0
15149.png,10.0,2.0,1.0,3.0,8.0
27625.png,10.0,10.0,10.0,1.0,2.0
10231.png,10.0,10.0,10.0,2.0,9.0
10130.png,10.0,10.0,10.0,10.0,2.0
32579.png,10.0,10.0,2.0,5.0,6.0
690.png,10.0,10.0,1.0,9.0,8.0
13663.png,10.0,10.0,10.0,1.0,6.0
29960.png,10.0,10.0,4.0,1.0,5.0
13317.png,10.0,10.0,10.0,4.0,3.0
11041.png,10.0,10.0,10.0,10.0,1.0
4282.png,10.0,10.0,10.0,3.0,3.0
7468.png,10.0,10.0,10.0,5.0,9.0
4761.png,10.0,10.0,10.0,7.0,1.0
7187.png,10.0,10.0,10.0,2.0,1.0
5143.png,10.0,10.0,2.0,0.0,3.0
10396.png,10.0,1.0,0.0,9.0,8.0
18046.png,10.0,10.0,10.0,8.0,5.0
23902.png,10.0,10.0,1.0,6.0,3.0
25805.png,10.0,10.0,10.0,10.0,9.0
26408.png,10.0,10.0,10.0,1.0,0.0
31543.png,10.0,10.0,10.0,7.0,0.0
20449.png,10.0,10.0,10.0,2.0,7.0
22149.png,10.0,10.0,10.0,1.0,8.0
32671.png,10.0,10.0,1.0,6.0,6.0
10467.png,10.0,10.0,10.0,2.0,3.0
10235.png,10.0,10.0,10.0,3.0,0.0
13227.png,10.0,10.0,10.0,2.0,0.0
13989.png,10.0,10.0,10.0,3.0,8.0
19228.png,10.0,10.0,3.0,3.0,6.0
13571.png,10.0,10.0,10.0,5.0,5.0
19577.png,10.0,10.0,10.0,6.0,2.0
19358.png,10.0,10.0,10.0,1.0,9.0
18979.png,10.0,10.0,10.0,2.0,5.0
15541.png,10.0,10.0,1.0,0.0,6.0
6682.png,10.0,10.0,10.0,10.0,8.0
18355.png,10.0,10.0,10.0,10.0,5.0
15050.png,10.0,10.0,10.0,9.0,1.0
18485.png,10.0,10.0,10.0,8.0,6.0
2980.png,10.0,2.0,7.0,1.0,9.0
12240.png,10.0,10.0,10.0,1.0,3.0
22995.png,10.0,10.0,10.0,3.0,4.0
12803.png,10.0,10.0,1.0,2.0,0.0
