filename,0,1,2,3,4
20953.png,10.0,10.0,1.0,9.0,5.0
30030.png,10.0,10.0,10.0,3.0,4.0
2036.png,10.0,10.0,10.0,8.0,2.0
11603.png,10.0,10.0,2.0,1.0,8.0
15287.png,10.0,10.0,10.0,1.0,4.0
1576.png,10.0,10.0,10.0,1.0,9.0
25316.png,10.0,10.0,10.0,5.0,0.0
15378.png,10.0,10.0,10.0,1.0,0.0
1304.png,10.0,2.0,1.0,8.0,3.0
18155.png,10.0,10.0,10.0,10.0,1.0
29448.png,10.0,10.0,10.0,3.0,1.0
1772.png,10.0,10.0,10.0,4.0,8.0
7461.png,10.0,2.0,3.0,3.0,4.0
24489.png,10.0,10.0,10.0,2.0,8.0
28807.png,10.0,10.0,10.0,7.0,2.0
1620.png,10.0,10.0,10.0,7.0,4.0
15220.png,10.0,10.0,10.0,1.0,7.0
28813.png,10.0,10.0,10.0,3.0,8.0
23675.png,10.0,10.0,3.0,9.0,9.0
23440.png,10.0,10.0,10.0,10.0,9.0
7721.png,10.0,10.0,4.0,7.0,1.0
13782.png,10.0,10.0,10.0,2.0,9.0
29694.png,10.0,2.0,0.0,1.0,0.0
8016.png,10.0,10.0,4.0,0.0,7.0
9835.png,10.0,10.0,1.0,0.0,0.0
4172.png,10.0,10.0,10.0,10.0,8.0
26962.png,10.0,10.0,10.0,10.0,6.0
25333.png,10.0,10.0,4.0,7.0,3.0
12373.png,10.0,10.0,10.0,8.0,0.0
8587.png,10.0,10.0,3.0,4.0,6.0
24359.png,10.0,10.0,10.0,4.0,8.0
27705.png,10.0,10.0,10.0,10.0,2.0
19470.png,10.0,10.0,10.0,10.0,9.0
20459.png,10.0,10.0,1.0,2.0,2.0
9877.png,10.0,10.0,10.0,10.0,5.0
15888.png,10.0,10.0,10.0,3.0,2.0
19234.png,10.0,10.0,10.0,7.0,8.0
27898.png,10.0,10.0,10.0,2.0,0.0
24289.png,10.0,2.0,0.0,2.0,2.0
2734.png,10.0,10.0,1.0,1.0,5.0
14539.png,10.0,10.0,10.0,4.0,0.0
8831.png,10.0,10.0,1.0,6.0,2.0
26573.png,10.0,10.0,1.0,3.0,3.0
25532.png,10.0,10.0,10.0,3.0,9.0
11034.png,10.0,10.0,10.0,10.0,2.0
31431.png,10.0,10.0,10.0,9.0,7.0
7266.png,10.0,10.0,10.0,1.0,5.0
30109.png,10.0,10.0,10.0,9.0,6.0
21372.png,10.0,10.0,10.0,10.0,8.0
22555.png,10.0,10.0,10.0,2.0,0.0
31251.png,10.0,10.0,10.0,2.0,3.0
16077.png,10.0,10.0,10.0,2.0,3.0
19917.png,10.0,10.0,10.0,1.0,0.0
26972.png,10.0,10.0,10.0,10.0,8.0
9978.png,10.0,10.0,1.0,7.0,4.0
11450.png,10.0,10.0,10.0,4.0,1.0
9378.png,10.0,10.0,10.0,10.0,4.0
9000.png,10.0,10.0,10.0,2.0,8.0
1193.png,10.0,1.0,8.0,4.0,2.0
9287.png,10.0,10.0,10.0,1.0,1.0
3856.png,10.0,10.0,10.0,8.0,4.0
21637.png,10.0,10.0,10.0,6.0,0.0
32323.png,10.0,10.0,1.0,8.0,0.0
30594.png,10.0,1.0,0.0,2.0,1.0
6317.png,10.0,10.0,10.0,9.0,5.0
18578.png,10.0,10.0,10.0,2.0,7.0
25439.png,10.0,2.0,1.0,3.0,0.0
26990.png,10.0,10.0,3.0,7.0,7.0
3384.png,10.0,10.0,10.0,5.0,4.0
28571.png,10.0,10.0,1.0,6.0,8.0
4384.png,10.0,10.0,10.0,4.0,1.0
32797.png,10.0,10.0,10.0,2.0,3.0
21893.png,10.0,10.0,10.0,7.0,9.0
18038.png,10.0,10.0,10.0,1.0,3.0
6697.png,10.0,10.0,1.0,2.0,5.0
16569.png,10.0,10.0,10.0,10.0,3.0
3193.png,10.0,10.0,10.0,10.0,6.0
28421.png,10.0,10.0,1.0,1.0,6.0
3218.png,10.0,10.0,10.0,3.0,6.0
9250.png,10.0,10.0,10.0,10.0,6.0
9529.png,10.0,10.0,4.0,3.0,9.0
33230.png,10.0,10.0,10.0,1.0,8.0
14446.png,10.0,10.0,10.0,2.0,5.0
16700.png,10.0,10.0,10.0,1.0,1.0
10061.png,10.0,10.0,2.0,0.0,2.0
2670.png,10.0,10.0,1.0,1.0,4.0
22843.png,10.0,2.0,2.0,5.0,4.0
4670.png,10.0,10.0,3.0,3.0,0.0
29756.png,10.0,10.0,3.0,3.0,4.0
32273.png,10.0,10.0,1.0,1.0,7.0
485.png,10.0,10.0,3.0,0.0,3.0
5908.png,10.0,10.0,10.0,10.0,7.0
15431.png,10.0,10.0,10.0,10.0,3.0
24941.png,10.0,10.0,10.0,1.0,6.0
3516.png,10.0,10.0,2.0,7.0,9.0
26121.png,10.0,10.0,10.0,2.0,2.0
14399.png,10.0,10.0,2.0,0.0,5.0
32833.png,10.0,10.0,10.0,1.0,5.0
9226.png,10.0,10.0,10.0,10.0,4.0
12495.png,10.0,10.0,10.0,3.0,3.0
30478.png,10.0,10.0,10.0,10.0,6.0
32410.png,10.0,10.0,10.0,2.0,3.0
19884.png,10.0,10.0,10.0,4.0,9.0
21375.png,10.0,10.0,10.0,2.0,0.0
17544.png,10.0,10.0,10.0,10.0,4.0
26099.png,10.0,10.0,10.0,2.0,4.0
14561.png,10.0,10.0,10.0,2.0,7.0
14924.png,10.0,10.0,10.0,8.0,7.0
26873.png,10.0,10.0,10.0,10.0,8.0
11327.png,10.0,10.0,1.0,3.0,8.0
15082.png,10.0,10.0,10.0,4.0,4.0
21499.png,10.0,10.0,3.0,4.0,4.0
2310.png,10.0,10.0,10.0,1.0,5.0
23854.png,10.0,10.0,1.0,7.0,7.0
18797.png,10.0,10.0,10.0,3.0,6.0
1208.png,10.0,10.0,1.0,2.0,6.0
13704.png,10.0,10.0,6.0,8.0,4.0
21412.png,10.0,10.0,2.0,1.0,0.0
22785.png,10.0,10.0,10.0,10.0,3.0
22691.png,10.0,10.0,10.0,10.0,1.0
30502.png,10.0,10.0,4.0,2.0,6.0
5871.png,10.0,10.0,10.0,10.0,5.0
28159.png,10.0,10.0,1.0,1.0,7.0
937.png,10.0,10.0,10.0,1.0,4.0
25424.png,10.0,10.0,10.0,10.0,2.0
830.png,10.0,10.0,2.0,5.0,7.0
12899.png,10.0,10.0,1.0,0.0,4.0
2961.png,10.0,10.0,10.0,10.0,8.0
23779.png,10.0,10.0,10.0,1.0,6.0
32071.png,10.0,10.0,10.0,3.0,7.0
12228.png,10.0,10.0,10.0,1.0,1.0
27579.png,10.0,1.0,3.0,2.0,1.0
7028.png,10.0,10.0,10.0,1.0,9.0
21079.png,10.0,10.0,3.0,6.0,9.0
